HRG_Code,HRG_Desc,HRG_Version,HRG_Type,Exc_All_Settings,HRG_Chapter_Code,HRG_Chapter_Desc,HRG_SubChapter_Code,HRG_SubChapter_Desc
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA28C,Motor Neuron Disease with CC Score 8+,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA28D,Motor Neuron Disease with CC Score 5-7,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA28E,Motor Neuron Disease with CC Score 2-4,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA28F,Motor Neuron Disease with CC Score 0-1,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA29C,Transient Ischaemic Attack with CC Score 11+,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA29D,Transient Ischaemic Attack with CC Score 8-10,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA29E,Transient Ischaemic Attack with CC Score 5-7,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA29F,Transient Ischaemic Attack with CC Score 0-4,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA32Z,Neuropsychology Tests,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35A,Stroke with CC Score 16+,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35B,Stroke with CC Score 13-15,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35C,Stroke with CC Score 10-12,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35D,Stroke with CC Score 7-9,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35E,Stroke with CC Score 4-6,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA35F,Stroke with CC Score 0-3,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA43A,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA43B,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50A,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50D,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53E,"Major Intracranial Procedures, 18 years and under, with CC Score 8+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA57A,"Minimal Intracranial Procedures, 19 years and over",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA57B,"Minimal Intracranial Procedures, 18 years and under",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA60B,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA61B,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA70Z,Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA71A,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA71B,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3",4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA80Z,Complex Long-Term EEG Monitoring,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA81Z,Standard Long-Term EEG Monitoring,4+,C,N,A,Nervous System,AA,Nervous System Procedures and Disorders
AA82Z,"Intracranial Telemetry, with Cortical Mapping or Resection of Brain",4+,C,Y,A,Nervous System,AA,Nervous System Procedures and Disorders
AA83Z,Intracranial Telemetry,4+,C,Y,A,Nervous System,AA,Nervous System Procedures and Disorders
AB11Z,Cognitive Behavioural Therapy as part of a Pain Management Programme,4+,C,N,A,Nervous System,AB,Pain Management
AB12Z,Insertion of Neurostimulator for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",4+,C,N,A,Nervous System,AB,Pain Management
AB16Z,"Denervation or Injection around Spinal Facet, for Pain Management",4+,C,N,A,Nervous System,AB,Pain Management
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB20Z,Epidural Under Image Control for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",4+,C,N,A,Nervous System,AB,Pain Management
AB22Z,Trigger Point Injection for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB23Z,Acupuncture for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB24Z,Alteration of Function of Nerve for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB25Z,"Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management",4+,C,N,A,Nervous System,AB,Pain Management
AB26Z,"Nerve Block or Destruction of Nerve, for Pain Management",4+,C,N,A,Nervous System,AB,Pain Management
AB27Z,Injection of Therapeutic Substance into Joint Under Image Control for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
AB28Z,Injection of Therapeutic Substance into Joint for Pain Management,4+,C,N,A,Nervous System,AB,Pain Management
BZ24D,Non-Surgical Ophthalmology with Interventions,4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ33Z,"Minor, Cataract or Lens Procedures",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
