OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A011,A011: Hemispherectomy,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A012,A012: Total lobectomy of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A013,A013: Partial lobectomy of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A018,A018: Other specified major excision of tissue of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A019,A019: Unspecified major excision of tissue of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A021,A021: Excision of lesion of tissue of frontal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A022,A022: Excision of lesion of tissue of temporal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A023,A023: Excision of lesion of tissue of parietal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A024,A024: Excision of lesion of tissue of occipital lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A025,A025: Excision of lesion of tissue of cerebellum,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A026,A026: Excision of lesion of tissue of brain stem,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A027,A027: Excision of transcranial dermoid cyst,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A028,A028: Other specified excision of lesion of tissue of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A029,A029: Unspecified excision of lesion of tissue of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A031,A031: Stereotactic leucotomy,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A032,A032: Stereotactic ablation of tissue of thalamus,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A033,A033: Stereotactic ablation of tissue of globus pallidus,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A034,A034: Stereotactic ablation of tissue of brain stem,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A038,A038: Other specified stereotactic ablation of tissue of brain,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A039,A039: Unspecified stereotactic ablation of tissue of brain,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A041,A041: Open biopsy of lesion of tissue of frontal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A042,A042: Open biopsy of lesion of tissue of temporal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A043,A043: Open biopsy of lesion of tissue of parietal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A044,A044: Open biopsy of lesion of tissue of occipital lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A045,A045: Open biopsy of lesion of tissue of cerebellum,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A046,A046: Open biopsy of lesion of tissue of brain stem,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A048,A048: Other specified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
